location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
739,"McMillan Reservoir","bc",0.37,"µg/m³","2019-02-14T05:00:00Z","2019-02-14T00:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.18,"µg/m³","2019-02-14T06:00:00Z","2019-02-14T01:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.2,"µg/m³","2019-02-14T07:00:00Z","2019-02-14T02:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.21,"µg/m³","2019-02-14T08:00:00Z","2019-02-14T03:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.3,"µg/m³","2019-02-14T09:00:00Z","2019-02-14T04:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.34,"µg/m³","2019-02-14T10:00:00Z","2019-02-14T05:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.64,"µg/m³","2019-02-14T11:00:00Z","2019-02-14T06:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",1.29,"µg/m³","2019-02-14T12:00:00Z","2019-02-14T07:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",2.7,"µg/m³","2019-02-14T13:00:00Z","2019-02-14T08:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",1.83,"µg/m³","2019-02-14T14:00:00Z","2019-02-14T09:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",2.71,"µg/m³","2019-02-14T15:00:00Z","2019-02-14T10:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.77,"µg/m³","2019-02-14T16:00:00Z","2019-02-14T11:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",1.12,"µg/m³","2019-02-14T17:00:00Z","2019-02-14T12:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.37,"µg/m³","2019-02-14T19:00:00Z","2019-02-14T14:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
